NOM_ARROND,Densité,Male,Female,Âge moyen de la population,Âge médian de la population,Couple with kids,Couple without kids,5 plus families,4 member families,Monoparental ,Locataires,Proprietaire,Reparation majeures,Valeur moyenne des logements ($),French,English,Unofficial Language,Immigrants,Non-immigrants,"Population selon le plus haut certificat, diplôme ou grade",No certificate,Taux d'emploi (%),Taux de chômage (%),Employé,,Travailleurs autonomes,,Revenu avant impôt en 2015 de la population de 15 ans et plus
Ahuntsic / Cartierville,5556.5,0.48,0.52,41.6,39.9,0.463,0.336,0.096,0.207,0.201,0.608,0.392,0.068,451986,0.531,0.052,0.416,0.404,0.579,106080,0.175,56,9.9,55705,0.845,7310,0.111,106075
Anjou,3128.4,0.464,0.536,43.9,43.8,0.42,0.379,0.091,0.199,0.202,0.557,0.443,0.05,366417,0.625,0.04,0.336,0.335,0.657,34455,0.2,52.4,9.8,17130,0.856,1890,0.094,34455
Côte-des-Neiges / Notre-Dame-de-Grâce,7766.8,0.478,0.522,38.7,36.1,0.453,0.328,0.09,0.196,0.219,0.733,0.267,0.104,548055,0.289,0.273,0.438,0.467,0.469,136325,0.115,56.9,10.6,72915,0.84,10330,0.119,136325
Lachine,2510.7,0.48,0.52,41.8,40.2,0.414,0.344,0.07,0.193,0.242,0.573,0.427,0.081,368620,0.56,0.244,0.196,0.225,0.767,35315,0.207,58.9,9.3,20110,0.877,1990,0.087,35315
Lasalle,4723.6,0.474,0.526,42.2,41.6,0.421,0.342,0.08,0.188,0.237,0.601,0.399,0.071,431541,0.369,0.264,0.367,0.359,0.624,62680,0.2,54.5,10.3,32575,0.855,3945,0.104,62675
Plateau Mont-Royal,12792.1,0.509,0.491,37.4,33.6,0.323,0.517,0.045,0.13,0.161,0.724,0.276,0.1,479977,0.629,0.162,0.209,0.24,0.651,89955,0.078,67.1,8.2,53950,0.821,10135,0.154,89955
Sud-Ouest,4984.1,0.495,0.505,38.9,35.7,0.324,0.437,0.061,0.138,0.239,0.658,0.342,0.082,384460,0.561,0.194,0.245,0.251,0.721,65805,0.186,61,8.5,37705,0.859,4780,0.109,65810
L'Ile-Bizard / Ste-Geneviève,780.2,0.489,0.511,42.1,43.1,0.508,0.337,0.086,0.246,0.156,0.26,0.74,0.055,452415,0.5,0.235,0.266,0.252,0.739,14855,0.132,64,6.6,8620,0.847,1385,0.136,14855
Mercier / Hochelaga-Maisonneuve,5353.2,0.496,0.504,41.2,38.5,0.346,0.421,0.058,0.149,0.233,0.656,0.344,0.081,351204,0.773,0.034,0.193,0.21,0.774,113215,0.199,59.4,8.8,64660,0.877,6390,0.087,113215
Montréal-Nord,7623,0.474,0.526,41.2,40,0.422,0.275,0.119,0.19,0.303,0.716,0.284,0.08,348935,0.507,0.043,0.45,0.417,0.57,66000,0.314,49.1,12.4,31570,0.853,3240,0.088,66005
Outremont,6221.8,0.471,0.529,38.5,36.1,0.493,0.34,0.159,0.202,0.166,0.461,0.538,0.084,896722,0.558,0.156,0.285,0.247,0.713,17765,0.1,61.8,6.3,8605,0.735,2890,0.247,17765
Pierrefonds / Roxboro,2560.9,0.485,0.515,39.8,41,0.529,0.291,0.108,0.256,0.18,0.302,0.699,0.059,360055,0.273,0.31,0.417,0.403,0.59,56355,0.148,60.4,7.8,31775,0.86,4060,0.11,56355
Rivière-des-Prairies / Pointe-aux-Trembles,2524.7,0.479,0.521,42.2,42.8,0.428,0.342,0.076,0.203,0.229,0.363,0.637,0.053,307583,0.632,0.071,0.297,0.242,0.755,87010,0.238,58.7,7,49050,0.893,4305,0.078,87005
Rosemont / Petite-Patrie,8806.9,0.48,0.52,40.4,37.4,0.362,0.43,0.048,0.162,0.207,0.695,0.305,0.088,424521,0.756,0.044,0.199,0.225,0.747,116880,0.147,64.2,7.5,69775,0.86,9280,0.114,116880
Saint-Laurent,2310.7,0.484,0.516,39,38.1,0.532,0.285,0.122,0.245,0.184,0.51,0.49,0.068,463060,0.284,0.145,0.571,0.536,0.441,77635,0.165,54.9,10.3,39345,0.828,5910,0.124,77635
Saint-Léonard,5804.7,0.473,0.527,41.1,40.6,0.49,0.3,0.116,0.223,0.21,0.649,0.351,0.058,533135,0.314,0.076,0.61,0.485,0.503,61565,0.261,52.2,11,30580,0.846,3710,0.103,61570
Verdun,7126,0.481,0.519,41.4,38.9,0.357,0.454,0.044,0.148,0.189,0.629,0.371,0.088,463337,0.61,0.166,0.224,0.242,0.73,57615,0.138,61.6,8.1,32720,0.847,4715,0.122,57620
Ville-Marie,5397.7,0.546,0.454,40,34.5,0.266,0.576,0.036,0.094,0.158,0.726,0.274,0.077,525007,0.499,0.155,0.346,0.317,0.544,80050,0.092,57.9,9.8,42255,0.822,6965,0.136,80050
Villeray / St-Michel / Parc Extension,8723.7,0.496,0.503,38.3,36,0.422,0.329,0.097,0.185,0.249,0.722,0.278,0.09,396855,0.464,0.058,0.478,0.422,0.545,118335,0.258,56.7,11.1,64295,0.852,7345,0.097,118335
Baie d'Urfé,635.8,0.484,0.517,45.3,47.9,0.513,0.397,0.116,0.246,0.089,0.06,0.94,0.067,643397,0.259,0.504,0.236,0.258,0.713,3115,0.071,53.5,7,1390,0.774,365,0.203,3115
Beaconsfield,1759.9,0.487,0.513,41.7,44.3,0.547,0.338,0.108,0.281,0.115,0.103,0.897,0.049,603087,0.242,0.544,0.214,0.233,0.759,15595,0.079,59.8,5.8,7945,0.803,1730,0.175,15595
Côte St-Lu,4675.5,0.459,0.541,45.8,44.4,0.453,0.385,0.111,0.191,0.163,0.509,0.491,0.067,525526,0.185,0.438,0.377,0.448,0.527,25750,0.114,50.8,8.9,11045,0.77,2770,0.193,25750
Dollard-des-Ormeaux,3223.4,0.486,0.514,41.9,42.7,0.528,0.312,0.116,0.259,0.159,0.235,0.766,0.067,422109,0.162,0.432,0.406,0.396,0.596,40295,0.133,59.6,7.1,21935,0.849,3285,0.127,40295
Dorval,910.3,0.488,0.512,43.5,43.8,0.426,0.4,0.068,0.204,0.173,0.401,0.6,0.092,414180,0.315,0.431,0.254,0.259,0.73,16010,0.119,63.3,6,9440,0.874,1100,0.102,16010
Hampstead,3904.3,0.481,0.519,40.1,40.7,0.551,0.325,0.182,0.224,0.124,0.331,0.669,0.055,1147558,0.189,0.574,0.238,0.284,0.686,5665,0.072,62,5.5,2545,0.684,1100,0.296,5665
Kirkland,2093.8,0.485,0.515,41.9,45.2,0.573,0.315,0.101,0.29,0.112,0.055,0.945,0.043,526075,0.208,0.429,0.363,0.288,0.707,16830,0.085,62.9,5.9,9455,0.841,1575,0.14,16830
