Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2015-01-01,2015,1,1,,-3.1,,-7.6,,-5.4,,23.4,,0,,,M,,M,,M,,,22,,41,
2015-01-02,2015,1,2,,-3.4,,-13.1,,-8.3,,26.3,,0,,,M,,M,,M,,,,,<31,
2015-01-03,2015,1,3,,-8,,-15,,-11.5,,29.5,,0,,,M,,M,,M,,,,,<31,
2015-01-04,2015,1,4,,3.3,,-8.1,,-2.4,,20.4,,0,,,M,,M,,M,,,19,,37,
2015-01-05,2015,1,5,,-4.8,,-17.5,,-11.2,,29.2,,0,,,M,,M,,M,,,18,,44,
2015-01-06,2015,1,6,,,M,-18,E,,M,,M,,M,,M,,M,,M,,,,M,,M
2015-01-07,2015,1,7,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
2015-01-08,2015,1,8,,-7.9,,-26.7,,-17.3,,35.3,,0,,,M,,M,,M,,,,,<31,
2015-01-09,2015,1,9,,-6,,-13,,-9.5,,27.5,,0,,,M,,M,,M,,,21,,32,
2015-01-10,2015,1,10,,-8.5,,-13.1,,-10.8,,28.8,,0,,,M,,M,,M,,,18,,35,
2015-01-11,2015,1,11,,-3.9,,-10.4,,-7.2,,25.2,,0,,,M,,M,,M,,,,,<31,
2015-01-12,2015,1,12,,-1.3,,-16.9,,-9.1,,27.1,,0,,,M,,M,,M,,,,,<31,
2015-01-13,2015,1,13,,-15.2,,-20.6,,-17.9,,35.9,,0,,,M,,M,,M,,,,,<31,
2015-01-14,2015,1,14,,-12.5,,-20,,-16.3,,34.3,,0,,,M,,M,,M,,,,,<31,
2015-01-15,2015,1,15,,-5,,-17.5,,-11.3,,29.3,,0,,,M,,M,,M,,,,,<31,
2015-01-16,2015,1,16,,-2.3,,-19.8,,-11.1,,29.1,,0,,,M,,M,,M,,,26,,32,
2015-01-17,2015,1,17,,-12.3,,-23.8,,-18.1,,36.1,,0,,,M,,M,,M,,,,,<31,
2015-01-18,2015,1,18,,3.2,,-12.9,,-4.9,,22.9,,0,,,M,,M,,M,,,,,<31,
2015-01-19,2015,1,19,,2,,-13.1,,-5.6,,23.6,,0,,,M,,M,,M,,,21,,33,
2015-01-20,2015,1,20,,-13.1,,-17.8,,-15.5,,33.5,,0,,,M,,M,,M,,,19,,35,
2015-01-21,2015,1,21,,-9,,-17.4,,-13.2,,31.2,,0,,,M,,M,,M,,,,,<31,
2015-01-22,2015,1,22,,-7.4,,-15.2,,-11.3,,29.3,,0,,,M,,M,,M,,,,,<31,
2015-01-23,2015,1,23,,-0.1,,-9.8,,-5,,23,,0,,,M,,M,,M,,,21,,41,
2015-01-24,2015,1,24,,-0.4,,-3,,-1.7,,19.7,,0,,,M,,M,,M,,,,,<31,
2015-01-25,2015,1,25,,-1.5,,-16.5,,-9,,27,,0,,,M,,M,,M,,,,,<31,
2015-01-26,2015,1,26,,-14.2,,-19.6,,-16.9,,34.9,,0,,,M,,M,,M,,,4,,32,
2015-01-27,2015,1,27,,-9.4,,-15.2,,-12.3,,30.3,,0,,,M,,M,,M,,,5,,37,
2015-01-28,2015,1,28,,-8,,-13.4,,-10.7,,28.7,,0,,,M,,M,,M,,,24,,41,
2015-01-29,2015,1,29,,-0.8,,-13.7,,-7.3,,25.3,,0,,,M,,M,,M,,,24,,35,
2015-01-30,2015,1,30,,-2.1,,-17.2,,-9.7,,27.7,,0,,,M,,M,,M,,,,,<31,
2015-01-31,2015,1,31,,-14,,-22.3,,-18.2,,36.2,,0,,,M,,M,,M,,,22,,35,
2015-02-01,2015,2,1,,-12.9,,-20.1,,-16.5,,34.5,,0,,,M,,M,,M,,,,,<31,
2015-02-02,2015,2,2,,-16.7,,-22.7,,-19.7,,37.7,,0,,,M,,M,,M,,,5,,32,
2015-02-03,2015,2,3,,-7.1,,-21.7,,-14.4,,32.4,,0,,,M,,M,,M,,,,,<31,
2015-02-04,2015,2,4,,-3.6,,-7.9,,-5.8,,23.8,,0,,,M,,M,,M,,,,,<31,
2015-02-05,2015,2,5,,-6.7,,-19.8,,-13.3,,31.3,,0,,,M,,M,,M,,,,,<31,
2015-02-06,2015,2,6,,-9.4,,-23.9,,-16.7,,34.7,,0,,,M,,M,,M,,,,,<31,
2015-02-07,2015,2,7,,-11.7,,-15.5,,-13.6,,31.6,,0,,,M,,M,,M,,,,,<31,
2015-02-08,2015,2,8,,-13.9,,-18.4,,-16.2,,34.2,,0,,,M,,M,,M,,,2,,35,
2015-02-09,2015,2,9,,-10.9,,-15.7,,-13.3,,31.3,,0,,,M,,M,,M,,,4,,32,
2015-02-10,2015,2,10,,-5.7,,-11.5,,-8.6,,26.6,,0,,,M,,M,,M,,,,,<31,
2015-02-11,2015,2,11,,-10.8,,-16.6,,-13.7,,31.7,,0,,,M,,M,,M,,,,,<31,
2015-02-12,2015,2,12,,-7.4,,-16.9,,-12.2,,30.2,,0,,,M,,M,,M,,,,,<31,
2015-02-13,2015,2,13,,-16.9,,-23.4,,-20.2,,38.2,,0,,,M,,M,,M,,,19,,43,
2015-02-14,2015,2,14,,-13.5,,-20.2,,-16.9,,34.9,,0,,,M,,M,,M,,,,,<31,
2015-02-15,2015,2,15,,-14.1,,-21.7,,-17.9,,35.9,,0,,,M,,M,,M,,,,,<31,
2015-02-16,2015,2,16,,-15.7,,-23.1,,-19.4,,37.4,,0,,,M,,M,,M,,,18,,41,
2015-02-17,2015,2,17,,-12.5,,-22.7,,-17.6,,35.6,,0,,,M,,M,,M,,,,,<31,
2015-02-18,2015,2,18,,-7.2,,-19.7,,-13.5,,31.5,,0,,,M,,M,,M,,,,,<31,
2015-02-19,2015,2,19,,-7,,-18.4,,-12.7,,30.7,,0,,,M,,M,,M,,,23,,44,
2015-02-20,2015,2,20,,-14.4,,-19.5,,-17,,35,,0,,,M,,M,,M,,,22,,46,
2015-02-21,2015,2,21,,-7.2,,-15.7,,-11.5,,29.5,,0,,,M,,M,,M,,,,,<31,
2015-02-22,2015,2,22,,-3.4,,-10,,-6.7,,24.7,,0,,,M,,M,,M,,,,,<31,
2015-02-23,2015,2,23,,-9.9,,-20.6,,-15.3,,33.3,,0,,,M,,M,,M,,,17,,39,
2015-02-24,2015,2,24,,-8.7,,-21.6,,-15.2,,33.2,,0,,,M,,M,,M,,,21,,32,
2015-02-25,2015,2,25,,-4.6,,-17.4,,-11,,29,,0,,,M,,M,,M,,,18,,37,
2015-02-26,2015,2,26,,-11.7,,-19.4,,-15.6,,33.6,,0,,,M,,M,,M,,,,,<31,
2015-02-27,2015,2,27,,-9.2,,-18.4,,-13.8,,31.8,,0,,,M,,M,,M,,,18,,33,
2015-02-28,2015,2,28,,-5.4,,-15,,-10.2,,28.2,,0,,,M,,M,,M,,,19,,41,
2015-03-01,2015,3,1,,-2.6,,-13.2,,-7.9,,25.9,,0,,,M,,M,,M,,,,,<31,
2015-03-02,2015,3,2,,-2.6,,-11,,-6.8,,24.8,,0,,,M,,M,,M,,,21,,39,
